year	Wetstorage	Drystorage	InterimStorage	Repository	TotalUsedFuel
2000	21,176	21,570	0	0	42,747
2001	22,980	21,570	0	0	44,550
2002	21,619	24,747	0	0	46,366
2003	20,806	27,394	0	0	48,200
2004	20,549	29,511	0	0	50,060
2005	20,317	31,629	0	0	51,946
2006	20,091	33,747	0	0	53,837
2007	19,864	35,864	0	0	55,728
2008	19,637	37,982	0	0	57,619
2009	19,410	40,099	0	0	59,509
2010	19,183	42,217	0	0	61,400
2011	19,192	44,099	0	0	63,291
2012	19,270	45,912	0	0	65,182
2013	19,331	47,741	0	0	67,072
2014	19,368	49,595	0	0	68,963
2015	19,388	51,475	0	0	70,863
2016	19,428	53,364	0	0	72,793
2017	19,503	55,255	0	0	74,758
2018	19,608	57,146	0	0	76,754
2019	19,752	58,287	750	0	78,789
2020	19,932	57,177	750	3,000	80,859
2021	20,146	56,008	750	6,000	82,964
2022	20,392	54,779	750	9,000	85,104
2023	20,674	53,430	750	12,000	87,280
2024	20,993	51,921	750	15,000	89,499
2025	21,346	50,178	750	18,000	91,757
2026	21,717	48,301	750	21,000	94,050
2027	22,089	46,457	750	24,000	96,383
2028	22,744	44,645	750	27,000	99,040
2029	23,200	42,871	750	30,000	101,526
2030	23,621	41,112	750	33,000	104,012
2031	24,540	39,288	750	36,000	107,032
2032	25,684	37,377	750	39,000	110,310
2033	26,750	35,259	750	42,000	113,557
2034	26,793	32,861	750	45,000	115,838
2035	28,237	30,022	750	48,000	119,575
2036	28,933	26,851	770	51,035	122,626
2037	29,893	23,651	789	54,137	126,000
2038	30,214	20,437	908	57,400	128,994
2039	30,949	17,562	750	61,000	132,399
2040	31,559	16,146	250	63,000	135,682
2041	31,756	16,631	250	63,000	138,986
2042	31,489	17,440	250	63,000	142,198
2043	31,672	18,276	250	63,000	145,949
2044	32,353	18,366	250	63,000	149,481
2045	32,609	19,284	250	63,000	153,447
2046	32,344	20,033	250	63,000	156,751
2047	32,126	20,830	250	63,000	160,178
2048	32,453	21,403	250	63,000	163,951
2049	32,407	22,155	250	63,000	167,562
2050	32,378	22,835	250	63,000	171,190
2051	32,414	23,184	250	63,000	174,871
2052	32,602	23,024	250	63,000	178,630
2053	32,331	22,618	250	63,000	182,272
2054	32,324	21,830	250	63,000	186,123
2055	31,944	21,293	250	63,000	189,865
2056	32,116	20,343	250	63,000	193,765
2057	32,414	19,292	250	63,000	197,730
2058	32,457	18,502	250	63,000	201,748
2059	32,595	17,649	250	63,000	205,831
2060	32,802	16,736	250	63,000	209,976
2061	33,050	15,831	250	63,000	214,191
2062	33,289	14,960	250	63,000	218,489
2063	33,708	13,989	250	63,000	222,879
2064	34,190	13,134	250	63,000	227,452
2065	34,606	12,230	250	63,000	231,965
2066	35,100	11,400	250	63,000	236,648
2067	35,585	10,621	250	63,000	241,405
2068	36,094	9,852	250	63,000	246,224
2069	36,607	9,111	250	63,000	251,104
2070	37,140	8,386	250	63,000	256,037
2071	37,684	7,700	250	63,000	261,048
2072	38,258	7,048	250	63,000	266,147
2073	38,821	6,459	250	63,000	271,333
2074	39,281	6,031	250	63,000	276,616
2075	39,943	5,557	250	63,000	282,082
2076	40,531	5,166	250	63,000	287,580
2077	41,150	4,850	250	63,000	293,212
2078	41,836	4,570	250	63,000	298,968
2079	42,612	4,319	250	63,000	304,863
2080	43,452	4,109	250	63,000	310,894
2081	44,311	3,946	250	63,000	317,039
2082	45,198	3,844	250	63,000	323,289
2083	46,091	3,790	250	63,000	329,649
2084	47,035	3,785	250	63,000	336,030
2085	47,842	3,925	250	63,000	342,691
2086	48,866	4,109	250	63,000	349,387
2087	49,816	4,374	250	63,000	356,198
2088	51,017	4,704	250	63,000	363,397
2089	51,964	4,869	250	63,000	370,505
2090	52,830	4,743	250	63,000	377,613
2091	54,217	4,124	250	63,000	385,495
2092	55,775	3,262	250	63,000	393,527
2093	57,330	2,491	250	63,000	401,785
2094	57,970	1,789	250	63,000	409,033
2095	60,104	1,387	0	63,000	417,979
2096	61,391	1,456	0	63,000	426,277
2097	62,943	1,463	0	63,000	435,013
2098	64,173	1,560	0	63,000	443,491
2099	65,534	1,523	0	63,000	452,411
2100	67,020	1,530	0	63,000	461,322
